,x0,x1,x2,x3,char
140,2.16,3.4,6.06,7.68,A
141,5.11,5.51,2.99,5.98,B
142,2.58,3.05,3.9,7.7,A
143,4.22,8.83,1.34,3.64,C
144,4.9,7.03,3.75,7.25,B
145,4.35,8.02,2.97,5.58,C
146,3.53,3.89,3.77,6.65,A
147,3.8,5.03,3.44,6.66,B
148,3.03,3.04,3.96,4.45,D
149,-0.43,3.62,1.31,1.17,D
150,4.49,7.08,5.42,6.29,B
151,1.78,3.37,2.77,5.37,A
152,1.86,0.03,2.34,6.58,D
153,3.94,4.04,5.05,7.1,A
154,3.0,4.32,4.3,8.09,A
155,4.08,8.66,2.75,4.27,C
156,3.38,4.46,4.51,7.33,A
157,2.59,5.86,6.14,5.11,B
158,4.67,3.98,0.86,7.24,B
159,3.44,4.31,6.36,6.21,A
160,5.31,8.29,3.61,5.79,C
161,0.42,1.82,1.76,4.37,D
162,2.01,1.37,3.1,5.68,D
163,3.79,6.44,4.83,7.33,B
164,-0.37,2.69,2.42,6.42,D
165,1.37,4.84,4.29,6.17,A
166,4.89,5.05,3.04,5.2,B
167,2.07,4.06,5.0,5.84,A
168,6.59,5.73,2.13,8.13,B
169,1.26,1.37,3.15,4.18,D
170,3.52,2.55,1.87,5.08,D
171,2.13,2.1,1.24,3.96,D
172,0.65,1.07,0.48,3.22,D
173,3.73,4.18,5.1,5.93,A
174,3.11,4.68,6.0,7.25,A
175,2.57,1.07,1.79,6.88,D
176,5.1,7.25,4.91,6.18,C
177,1.48,4.21,5.32,6.79,A
178,4.65,4.57,4.61,5.13,A
179,6.35,4.87,2.91,6.3,B
180,1.25,2.36,0.72,4.59,D
181,3.95,6.77,2.94,4.47,C
182,-0.54,1.76,3.57,4.71,D
183,2.87,5.71,4.31,5.47,A
184,0.3,1.75,2.48,5.01,D
185,1.52,6.25,3.32,5.47,B
186,0.82,2.05,0.66,3.9,D
187,5.36,5.88,4.02,5.31,B
188,5.19,4.9,2.15,7.52,B
189,3.67,4.38,3.95,6.3,B
190,2.25,3.94,2.09,3.87,D
191,-1.27,2.27,4.01,3.44,D
192,3.21,5.83,4.67,6.46,B
193,3.46,7.33,2.86,6.76,C
194,4.09,3.56,4.89,7.11,A
195,-2.42,1.07,5.79,3.18,D
196,2.79,7.17,4.51,5.0,C
197,1.01,1.49,4.65,6.62,A
198,3.08,9.22,1.6,5.55,C
199,1.76,5.78,5.49,4.99,B
