,x0,x1,x2,x3,x4,char
61,-2.07,3.66,-0.36,-3.21,3.06,B
62,-1.38,-2.44,-2.28,-1.95,-1.38,B
63,-1.51,0.38,-3.02,-1.14,1.23,C
64,0.02,-1.12,2.25,-1.62,-1.71,A
65,1.71,-0.62,-0.06,3.41,-0.37,C
66,-0.1,0.35,0.31,-0.33,0.18,A
67,-0.7,1.25,1.95,-2.37,0.34,A
68,-0.09,0.92,0.78,-0.47,0.51,B
69,0.55,1.36,-0.11,1.51,1.22,C
70,-0.52,-2.83,2.05,-2.97,-3.12,A
71,-0.2,3.24,2.61,-1.32,1.83,A
72,1.02,0.21,0.82,1.63,-0.03,B
73,-1.54,-0.67,-3.13,-1.36,0.38,C
74,-2.02,0.46,-1.61,-3.03,0.78,A
75,-0.48,-0.52,-0.48,-0.79,-0.31,B
76,0.24,-1.05,2.0,-0.98,-1.55,A
77,1.78,-0.68,-0.49,3.81,-0.28,C
78,-0.85,-1.35,-1.23,-1.28,-0.78,B
79,-0.03,2.08,0.66,-0.0,1.53,A
80,-0.61,0.27,-2.79,0.54,1.13,C
81,0.09,0.09,0.56,-0.14,-0.11,B
82,0.62,1.48,-0.32,1.8,1.4,C
83,0.85,-0.09,-1.0,2.34,0.32,C
84,1.33,-1.51,-0.27,2.57,-1.08,C
85,-0.6,-1.25,-1.25,-0.72,-0.67,B
86,-0.25,1.04,0.78,-0.76,0.59,A
87,-0.8,-1.35,-1.12,-1.24,-0.82,B
88,-0.63,-1.11,-1.1,-0.85,-0.61,B
89,-0.75,0.19,-2.57,0.11,0.98,C
90,1.8,-3.39,1.65,1.9,-3.28,C
91,-0.86,0.2,-2.46,-0.18,0.94,C
92,0.18,-1.57,2.07,-1.28,-2.01,A
93,0.14,1.17,-0.81,1.06,1.28,C
94,0.5,0.47,1.06,0.47,0.07,B
95,1.56,-2.26,0.67,2.28,-2.02,C
96,-0.33,1.28,1.41,-1.27,0.58,A
97,-1.8,1.98,-0.82,-2.75,1.82,B
98,0.9,1.08,1.74,1.0,0.38,B
99,-0.15,1.21,-1.43,0.86,1.5,C
100,1.3,-1.85,1.19,1.5,-1.87,C
101,0.25,1.68,0.31,0.69,1.33,B
102,-0.3,0.53,0.83,-1.02,0.14,A
103,0.28,-1.49,1.41,-0.64,-1.71,A
104,-0.62,-0.46,-0.56,-1.02,-0.24,B
105,2.37,-1.28,2.07,3.27,-1.61,B
106,0.99,-1.97,0.14,1.5,-1.63,C
107,0.34,-0.45,0.58,0.23,-0.55,A
108,-1.69,-2.16,-2.13,-2.61,-1.22,B
109,0.38,1.16,0.4,0.8,0.87,B
110,-1.58,-1.41,-1.56,-2.58,-0.77,B
111,-0.14,-1.31,0.88,-1.12,-1.41,A
112,1.23,1.06,0.32,2.56,0.88,B
113,-0.32,-1.91,-0.23,-0.95,-1.55,A
114,0.66,0.95,0.55,1.22,0.66,B
115,0.69,2.11,-0.06,1.92,1.85,C
116,-0.41,3.12,2.16,-1.49,1.87,A
117,-0.3,0.68,1.64,-1.49,-0.01,A
118,-1.1,-1.01,0.65,-2.89,-1.15,A
119,0.54,1.71,-0.05,1.52,1.49,C
120,-1.82,-3.4,-3.22,-2.48,-1.9,B
121,-0.6,-0.53,-2.94,0.49,0.51,C
122,-0.34,2.25,1.81,-1.32,1.26,A
123,-0.4,1.18,0.14,-0.63,0.92,A
124,-0.5,-0.13,-0.19,-0.93,-0.08,B
125,1.59,-2.34,1.41,1.85,-2.33,C
126,1.92,1.99,1.95,3.16,1.15,C
127,0.77,-0.97,0.13,1.29,-0.81,C
128,-0.12,1.51,1.61,-0.91,0.72,A
129,-0.72,-0.67,-2.48,-0.08,0.22,A
130,0.41,0.92,0.24,0.9,0.72,B
131,-0.17,0.93,-1.47,0.79,1.27,C
132,0.6,1.0,0.21,1.32,0.82,C
133,-0.24,2.67,-0.63,0.5,2.45,B
134,0.95,-2.44,0.79,0.91,-2.25,C
135,0.99,0.66,1.99,0.93,-0.04,B
136,0.21,1.23,-0.37,0.94,1.18,A
137,-1.08,-1.24,-1.27,-1.7,-0.7,B
138,1.74,-1.69,1.26,2.4,-1.72,C
139,-0.05,0.79,-2.61,1.7,1.55,C
140,0.06,0.58,0.99,-0.35,0.16,A
141,0.21,-0.43,1.14,-0.39,-0.74,A
142,0.65,-1.98,1.26,0.11,-2.05,C
143,-0.16,-1.74,1.2,-1.47,-1.88,A
144,-1.31,-1.54,-1.7,-1.97,-0.82,B
145,0.12,1.79,0.38,0.42,1.39,B
146,1.15,-1.87,-0.3,2.12,-1.39,C
147,0.8,-1.84,1.1,0.53,-1.87,A
148,-0.57,0.61,0.33,-1.25,0.36,A
149,-1.06,-1.02,-1.1,-1.7,-0.56,B
150,-0.21,1.33,0.64,-0.53,0.89,A
151,0.65,-1.92,1.18,0.17,-1.97,A
152,0.03,0.44,0.42,-0.11,0.23,B
153,-0.26,0.94,0.64,-0.72,0.56,A
154,-1.03,-1.19,-3.66,-0.08,0.16,C
155,-0.12,-0.67,0.8,-0.88,-0.84,A
156,1.01,1.74,0.47,2.16,1.38,C
157,0.39,-2.43,-0.2,0.38,-1.96,C
158,-0.75,-0.99,0.87,-2.29,-1.18,A
159,0.79,2.55,0.91,1.62,1.9,B
160,0.63,-2.13,2.38,-0.67,-2.56,A
161,0.02,-0.08,-0.52,0.35,0.11,A
162,-0.53,1.07,1.36,-1.7,0.4,A
163,-0.37,2.18,1.95,-1.49,1.15,A
164,0.2,-0.62,-1.36,1.13,-0.05,C
165,2.2,2.85,2.07,3.86,1.86,C
166,-0.47,1.44,-3.95,1.82,2.52,C
167,-0.08,0.56,0.75,-0.5,0.21,B
168,-0.16,-0.45,-1.78,0.69,0.21,C
169,0.55,1.93,-1.08,2.23,2.03,C
170,-0.12,-0.56,0.14,-0.46,-0.53,A
171,0.53,-2.56,2.64,-1.14,-3.01,A
172,-1.0,0.14,-2.05,-0.73,0.74,C
173,-0.31,1.36,1.96,-1.56,0.46,A
174,-1.03,0.08,-2.64,-0.45,0.88,C
175,1.4,-1.4,0.24,2.42,-1.16,C
176,1.71,-0.46,1.87,2.23,-0.9,B
177,0.41,1.52,-0.7,1.62,1.55,C
178,-0.97,0.13,-2.38,-0.46,0.85,C
179,1.38,0.51,1.46,2.04,0.03,B
180,-0.22,0.47,0.35,-0.57,0.26,A
181,1.77,0.08,2.22,2.26,-0.55,B
182,1.04,0.87,0.16,2.23,0.75,C
183,1.18,0.79,1.15,1.88,0.36,B
184,-1.35,-2.1,-2.1,-1.92,-1.16,B
185,0.62,1.55,-0.24,1.76,1.43,C
186,-0.76,-1.18,0.76,-2.29,-1.31,A
187,-0.46,0.42,0.26,-1.02,0.23,A
188,-0.43,0.12,0.23,-1.01,-0.01,A
189,-1.1,1.26,-4.5,0.84,2.51,C
190,-0.36,-0.9,1.03,-1.58,-1.13,A
191,-1.05,0.13,0.57,-2.48,-0.16,A
192,0.04,-1.04,-0.79,0.35,-0.6,C
193,-0.84,-1.15,-0.99,-1.37,-0.7,B
194,-0.14,0.1,0.13,-0.34,0.03,B
195,-0.82,0.29,1.9,-2.81,-0.46,A
196,1.09,-0.67,-1.0,2.71,-0.15,C
197,1.58,0.57,0.99,2.74,0.26,B
198,0.74,-0.55,0.22,1.26,-0.48,B
199,1.03,2.29,0.21,2.5,1.94,C
