,x0,x1,x2,x3,char
50,3.09,6.77,5.62,2.36,C
51,2.15,7.36,6.35,1.95,B
52,2.14,5.88,5.27,2.26,C
53,2.14,1.73,2.14,1.8,A
54,5.84,1.84,1.53,6.56,D
55,1.68,2.36,2.72,2.32,A
56,1.66,6.54,6.54,2.35,C
57,5.7,2.31,1.83,5.69,B
58,1.56,2.44,2.22,2.62,A
59,5.83,5.98,6.68,5.95,B
60,2.75,1.75,2.52,1.9,A
61,1.96,1.75,2.01,1.59,A
62,1.69,1.05,2.48,2.09,A
63,6.0,6.01,5.73,5.68,B
64,5.43,0.76,1.95,6.36,D
65,2.37,2.37,2.13,1.97,A
66,5.87,6.31,5.08,5.71,D
67,1.43,6.76,6.55,2.08,C
68,5.0,5.8,4.98,6.17,B
69,1.71,6.18,5.34,1.59,C
70,2.92,6.09,5.94,2.33,C
71,6.45,1.41,1.94,6.67,D
72,6.97,7.35,6.1,5.6,C
73,6.34,1.54,2.22,6.03,D
74,2.4,4.91,5.58,1.75,C
75,1.53,2.4,2.16,1.57,A
76,5.61,6.07,6.17,5.95,B
77,5.97,1.33,1.48,6.57,D
78,1.35,5.64,6.26,2.27,C
79,2.16,2.14,2.02,2.48,A
80,6.15,6.15,5.43,6.46,B
81,6.02,2.42,1.63,5.72,D
82,5.51,2.74,1.66,6.78,D
83,5.7,2.24,1.84,6.07,A
84,2.78,5.92,5.73,1.89,C
85,6.73,2.53,1.89,5.66,D
86,5.94,6.09,6.06,6.2,B
87,5.86,5.6,5.15,5.97,B
88,2.26,2.45,2.23,2.23,A
89,6.45,1.53,2.03,5.4,D
90,6.45,6.66,6.11,5.27,A
91,6.98,5.41,6.03,6.65,C
92,1.38,2.48,1.41,1.76,A
93,5.71,6.01,6.54,5.92,B
94,2.0,6.23,5.13,1.97,C
95,1.81,3.07,2.08,1.82,C
96,2.14,6.41,6.15,2.26,C
97,6.17,1.6,1.88,5.58,D
98,5.2,2.79,1.98,4.86,D
99,1.81,1.51,2.04,1.14,A
100,1.82,5.68,5.53,2.59,C
101,1.32,1.38,2.36,2.9,A
102,7.06,5.84,5.79,5.9,B
103,5.33,6.15,6.46,6.67,B
104,2.25,5.85,5.19,2.43,C
105,5.82,1.88,1.16,6.06,D
106,2.21,6.05,6.14,1.82,C
107,6.26,5.48,6.89,6.35,C
108,2.01,5.65,6.19,1.19,C
109,5.68,3.14,1.93,7.13,D
110,2.78,1.75,2.5,2.21,A
111,1.14,1.52,2.1,1.41,A
112,6.05,6.8,6.25,5.54,B
113,5.25,2.07,1.63,5.93,D
114,1.92,1.47,1.89,1.08,A
115,1.67,6.07,6.37,1.91,C
116,2.22,1.63,1.65,1.94,A
117,2.64,1.6,2.02,3.14,A
118,1.6,1.97,1.16,1.75,B
119,5.64,0.84,2.22,5.9,D
120,1.95,1.63,1.98,2.72,A
121,5.94,5.83,5.48,5.45,C
122,1.93,1.55,2.47,1.91,A
123,2.02,6.23,6.85,2.23,C
124,2.11,2.39,2.18,2.32,A
125,2.58,6.07,5.57,1.06,C
126,5.67,1.69,2.81,5.46,D
127,1.47,6.2,6.52,1.83,C
128,2.03,1.52,1.55,1.88,B
129,2.26,2.31,2.41,1.87,A
130,1.85,2.73,1.78,1.89,A
131,2.71,5.57,5.77,2.01,D
132,1.58,1.66,2.07,1.97,A
133,2.36,6.18,5.65,1.71,C
134,2.13,6.1,6.81,2.22,C
135,1.44,6.17,5.71,1.42,C
136,6.22,6.79,6.2,5.98,B
137,2.42,2.93,1.68,2.39,A
138,5.87,6.51,5.88,6.34,B
139,2.67,6.84,6.25,2.79,C
140,1.77,6.83,5.59,2.42,C
141,1.3,5.65,5.97,2.55,D
142,5.87,5.61,6.81,6.19,D
143,2.72,5.47,5.85,2.08,D
144,1.95,6.25,5.82,2.5,D
145,6.96,5.94,5.67,5.77,B
146,5.77,1.35,2.27,6.38,D
147,1.57,6.24,5.94,2.39,C
148,6.14,5.19,6.09,5.12,B
149,2.21,2.24,2.37,1.48,A
150,6.02,1.36,2.01,5.89,D
151,2.09,6.45,5.81,2.59,C
152,6.14,1.85,2.77,6.61,D
153,2.85,2.01,1.93,2.02,A
154,5.93,1.52,1.51,5.74,D
155,1.45,6.1,5.26,2.31,C
156,3.0,5.98,5.45,2.26,C
157,2.11,5.52,5.8,2.67,C
158,1.97,5.75,6.06,1.25,C
159,6.33,6.38,5.89,5.95,A
160,6.68,5.68,6.32,6.07,B
161,6.15,6.36,6.17,5.74,B
162,5.81,5.19,5.43,5.69,B
163,2.16,2.26,1.74,1.18,A
164,6.44,6.06,6.49,6.79,B
165,5.81,5.61,6.1,5.6,B
166,6.63,6.51,6.05,6.13,B
167,1.83,0.93,2.11,2.22,B
168,6.85,6.02,6.42,6.14,B
169,5.87,5.92,6.16,6.82,C
170,1.68,6.27,6.32,1.78,C
171,6.25,1.84,2.74,6.29,D
172,5.53,6.84,6.0,6.26,B
173,6.01,2.54,2.31,6.68,D
174,1.78,1.29,1.19,2.6,A
175,6.26,1.55,2.4,6.08,D
176,1.65,6.99,5.66,1.62,C
177,5.97,1.96,2.05,5.78,D
178,5.28,6.08,6.14,6.69,B
179,5.75,6.39,5.99,5.16,C
180,5.57,1.79,1.23,6.28,D
181,6.37,6.58,5.9,6.9,B
182,2.15,2.34,1.58,2.68,A
183,5.97,1.9,2.38,6.22,D
184,1.71,1.58,2.14,1.44,A
185,6.47,6.04,5.9,5.51,B
186,6.29,6.2,6.62,5.99,B
187,5.88,1.43,2.66,5.9,D
188,5.18,1.74,1.72,6.29,D
189,5.48,2.26,1.48,6.48,D
190,5.54,5.39,5.96,5.6,B
191,6.64,6.74,6.03,5.46,B
192,2.72,1.96,1.94,1.62,A
193,1.97,1.82,1.64,2.03,A
194,2.7,5.8,5.96,2.49,C
195,6.53,1.57,2.54,6.76,D
196,5.72,6.2,6.29,5.23,B
197,1.8,2.3,2.5,2.13,A
198,1.24,6.85,6.35,1.77,C
199,1.62,6.39,5.88,1.65,C
