,x0,x1,x2,x3,char
103,2.21,5.03,4.06,5.57,A
104,2.98,4.76,5.13,6.37,C
105,5.58,3.08,1.27,-0.43,B
106,1.96,3.94,7.51,6.97,A
107,3.67,4.06,1.42,2.02,D
108,2.2,4.77,5.29,8.65,A
109,2.08,5.11,3.42,8.33,A
110,3.62,8.02,5.94,6.12,C
111,3.98,7.41,5.81,7.17,C
112,3.77,1.83,7.17,7.33,A
113,2.07,3.11,6.43,7.59,A
114,5.43,3.11,2.03,3.13,B
115,3.68,2.99,1.3,0.43,D
116,2.46,6.34,6.99,7.28,C
117,2.03,5.02,4.21,7.18,A
118,2.82,4.63,5.13,4.06,C
119,5.13,3.99,-0.3,1.05,B
120,8.79,0.9,1.11,0.67,B
121,2.02,4.6,1.02,2.63,D
122,6.5,4.72,3.57,0.99,B
123,7.12,4.75,0.19,1.29,B
124,5.96,5.53,1.12,0.94,B
125,4.73,5.15,3.44,1.9,B
126,2.9,3.51,4.32,6.88,A
127,2.37,4.75,3.87,6.73,A
128,7.12,2.73,2.23,1.03,B
129,5.56,3.05,2.09,2.06,B
130,2.69,4.27,3.73,6.85,A
131,2.7,7.17,3.4,7.56,C
132,3.54,6.64,2.79,5.18,C
133,1.67,3.49,6.17,5.98,A
134,2.22,2.78,5.4,7.59,A
135,7.82,4.87,0.27,-0.04,B
136,5.69,4.58,3.47,0.45,B
137,3.95,3.65,5.94,6.99,A
138,7.03,3.74,2.61,1.51,B
139,4.23,4.54,2.3,-0.24,D
140,5.52,5.74,1.86,0.68,B
141,4.75,3.84,1.79,1.91,D
142,4.56,7.53,5.86,7.0,C
143,4.51,3.97,3.44,0.21,B
144,4.02,2.94,4.08,6.36,A
145,3.93,2.88,6.6,8.03,A
146,3.34,4.26,4.65,8.24,A
147,1.1,2.93,3.46,6.65,A
148,5.17,4.23,0.38,-1.7,D
149,2.92,4.24,5.82,7.07,A
150,2.91,5.22,4.17,6.94,A
151,2.19,7.8,5.41,4.58,C
152,5.06,6.06,2.97,0.88,B
153,5.84,4.11,1.09,0.32,B
154,3.9,5.86,7.21,6.27,C
155,4.84,3.72,1.0,1.25,B
156,0.51,7.44,0.36,3.99,D
157,2.31,5.82,3.26,2.12,D
158,3.4,3.16,5.79,6.54,A
159,5.86,4.99,1.8,2.79,B
160,3.27,6.73,6.72,4.15,C
161,4.23,7.79,4.87,5.27,C
162,5.47,5.45,4.71,7.31,C
163,4.38,6.86,7.24,9.51,C
164,3.12,5.47,4.46,6.27,A
165,4.62,7.9,5.63,7.9,C
166,3.02,4.98,2.87,3.59,D
167,4.05,7.28,6.22,6.85,C
168,2.47,3.05,1.97,0.81,D
169,3.17,3.13,4.6,6.7,A
170,4.91,2.86,2.92,0.37,B
171,6.38,6.45,1.07,-0.55,B
172,2.83,6.91,6.5,10.05,C
173,2.82,7.52,5.49,7.69,C
174,5.18,4.14,0.52,1.06,D
175,1.87,5.53,7.22,5.88,A
176,1.51,4.28,5.92,7.25,A
177,5.83,2.52,2.2,0.99,B
178,5.25,3.01,0.57,1.75,B
179,0.95,6.53,3.14,0.43,D
180,7.04,2.98,2.82,-0.47,B
181,2.07,6.7,2.9,1.58,D
182,3.14,3.79,4.42,8.0,A
183,4.13,5.23,2.96,3.6,D
184,2.17,4.31,4.6,7.65,A
185,2.96,5.92,3.66,8.81,A
186,2.99,4.3,4.02,1.06,D
187,4.64,3.28,0.84,1.05,B
188,4.9,4.8,5.47,6.44,C
189,5.08,2.61,2.63,0.36,D
190,6.57,3.99,1.41,0.81,B
191,6.78,3.9,1.86,0.44,B
192,2.04,3.11,4.05,6.12,A
193,1.93,3.88,5.96,7.41,A
194,3.19,3.1,4.27,7.72,A
195,6.05,2.89,3.46,1.9,B
196,3.1,6.5,1.53,-0.29,D
197,3.17,6.35,1.14,0.49,D
198,5.95,3.05,3.36,-0.0,B
199,4.64,6.54,6.79,7.72,C
